iteration; levels; best; avg; dev
108; 55; 66; 68.9164; 0.387207
109; 56; 66; 68.9152; 0.386911
110; 56; 66; 68.8614; 0.380232
111; 57; 66; 68.8595; 0.38074
112; 57; 66; 68.8065; 0.375264
iteration; levels; best; avg; dev
0; 1; 90; 0; 0
1; 1; 87; 90; 0
2; 2; 83; 88.5; 1.5
3; 3; 81; 85.75; 1.5
4; 3; 81; 84.8333; 1.66667
5; 4; 80; 85.5556; 2.18409
6; 5; 80; 84.1042; 1.67917
7; 6; 78; 83.43; 1.27874
8; 6; 78; 81.8556; 1.71546
9; 7; 78; 82.0659; 1.92789
10; 8; 78; 81.485; 1.68282
11; 9; 78; 81.0494; 1.44184
12; 10; 77; 80.6769; 1.24619
13; 10; 77; 80.2008; 1.24245
14; 10; 77; 80.1322; 1.22172
15; 11; 76; 80.1106; 1.21594
16; 12; 76; 79.7097; 1.13258
17; 13; 75; 79.1895; 1.13016
18; 14; 75; 78.8782; 1.04067
19; 15; 75; 78.5166; 1.04317
20; 16; 75; 78.2037; 1.06958
21; 16; 75; 77.9729; 1.02017
22; 16; 75; 77.939; 1.00219
23; 16; 75; 77.93; 1.00065
24; 17; 74; 77.8678; 1.01256
25; 18; 73; 77.4607; 1.06831
26; 19; 73; 76.9956; 1.20493
27; 20; 73; 76.6916; 1.17383
28; 20; 73; 76.4892; 1.11288
29; 21; 73; 76.4211; 1.12354
30; 22; 73; 76.259; 1.06808
31; 23; 72; 76.0487; 1.02024
32; 23; 72; 75.7379; 1.10119
33; 24; 72; 75.7436; 1.12672
34; 25; 72; 75.5723; 1.07502
35; 26; 72; 75.3573; 1.04679
36; 27; 72; 75.1484; 1.01391
37; 28; 72; 74.9352; 1.01022
38; 29; 71; 74.8299; 0.970733
39; 30; 71; 74.5834; 1.05029
40; 31; 71; 74.3705; 1.06266
41; 32; 70; 74.232; 1.03112
42; 33; 70; 74.0055; 1.06225
43; 34; 70; 73.8388; 1.03346
44; 35; 70; 73.6763; 1.01167
45; 36; 69; 73.5511; 0.981995
46; 36; 69; 73.3605; 0.993517
47; 37; 69; 73.3427; 1.00647
48; 38; 69; 73.2024; 0.979165
49; 39; 69; 73.0753; 0.947711
50; 39; 69; 72.935; 0.918863
51; 40; 69; 72.879; 0.946863
52; 41; 69; 72.7496; 0.936413
53; 42; 69; 72.6108; 0.946693
54; 43; 69; 72.4777; 0.955462
55; 44; 69; 72.3529; 0.951863
56; 45; 69; 72.2385; 0.942337
57; 46; 69; 72.1433; 0.924426
58; 47; 68; 72.0389; 0.923368
59; 47; 68; 71.8938; 0.987925
60; 48; 68; 71.8905; 1.00278
61; 49; 68; 71.7463; 1.00717
62; 50; 68; 71.6395; 0.994895
63; 51; 68; 71.5199; 0.994868
64; 52; 68; 71.406; 0.995608
65; 53; 68; 71.3279; 0.976067
66; 54; 68; 71.2432; 0.960942
67; 54; 68; 71.167; 0.943511
68; 55; 68; 71.1505; 0.944711
69; 56; 68; 71.0626; 0.938457
70; 57; 68; 70.9864; 0.924664
71; 58; 68; 70.9258; 0.907118
72; 58; 68; 70.8622; 0.891416
73; 59; 68; 70.8443; 0.89833
74; 60; 67; 70.7868; 0.882576
75; 60; 67; 70.6829; 0.940556
76; 61; 67; 70.6701; 0.956168
77; 62; 67; 70.5965; 0.939406
78; 63; 67; 70.5234; 0.922498
79; 63; 67; 70.4535; 0.913341
80; 64; 67; 70.4391; 0.917517
