iteration; levels; best; avg; dev
65; 43; 58; 62.68; 0.674812
66; 44; 58; 62.5628; 0.65844
67; 45; 58; 62.4344; 0.65201
68; 46; 58; 62.3304; 0.635738
69; 47; 58; 62.2305; 0.619571
70; 47; 57; 62.1249; 0.613247
71; 47; 57; 62.0829; 0.692922
72; 47; 57; 62.0829; 0.693729
73; 48; 57; 62.0658; 0.700812
74; 48; 57; 61.9777; 0.685116
75; 49; 57; 61.9234; 0.728581
76; 50; 57; 61.7849; 0.730384
77; 51; 57; 61.6728; 0.718119
78; 52; 57; 61.5668; 0.707502
79; 53; 57; 61.4636; 0.693996
80; 54; 57; 61.3712; 0.677337
81; 55; 57; 61.2828; 0.663198
82; 56; 57; 61.2002; 0.650369
83; 57; 57; 61.1157; 0.640793
84; 57; 57; 61.0398; 0.627711
85; 57; 57; 61.03; 0.627859
86; 58; 57; 61.0229; 0.626375
87; 59; 57; 60.9446; 0.613763
88; 59; 57; 60.8689; 0.605114
89; 60; 57; 60.8589; 0.610126
90; 61; 57; 60.784; 0.603069
91; 62; 57; 60.7144; 0.593063
92; 63; 56; 60.6494; 0.582744
93; 63; 56; 60.5381; 0.64491
94; 64; 56; 60.5454; 0.652943
95; 65; 56; 60.4717; 0.641119
96; 65; 56; 60.393; 0.633056
97; 66; 56; 60.3876; 0.632478
98; 67; 56; 60.3147; 0.62299
99; 67; 56; 60.2473; 0.612197
iteration; levels; best; avg; dev
0; 1; 81; 0; 0
1; 1; 74; 81; 0
2; 1; 74; 77.5; 3.5
3; 1; 74; 77.5; 7
4; 1; 74; 77.5; 10.5
5; 1; 74; 77.5; 14
6; 1; 74; 77.5; 17.5
7; 1; 74; 77.5; 21
8; 1; 74; 77.5; 24.5
9; 2; 72; 77.5; 28
10; 2; 72; 74.75; 15.75
11; 3; 71; 75.75; 10.625
12; 3; 71; 74.1667; 5.375
13; 4; 71; 74.6667; 4.00266
14; 5; 71; 73.75; 2.65891
15; 6; 70; 73.0667; 1.81289
16; 6; 70; 72.3194; 1.57027
17; 6; 70; 72.3194; 1.52983
18; 6; 70; 72.3278; 1.4977
19; 6; 70; 72.3278; 1.49234
20; 6; 70; 72.2833; 1.46285
21; 7; 69; 72.2278; 1.45793
22; 8; 69; 71.6963; 1.29673
23; 9; 69; 71.3696; 1.10969
24; 10; 69; 71.1083; 0.950317
25; 11; 67; 70.9022; 0.83067
26; 11; 67; 70.4506; 0.824371
27; 11; 67; 70.4986; 0.91878
28; 12; 67; 70.4924; 0.912403
29; 13; 67; 70.1512; 0.920442
30; 14; 66; 69.9073; 0.839576
31; 15; 66; 69.511; 0.875729
32; 15; 66; 69.272; 0.818605
33; 16; 66; 69.3103; 0.844736
34; 16; 66; 69.0751; 0.795285
35; 17; 65; 69.0665; 0.800668
36; 17; 65; 68.8186; 0.746276
37; 18; 65; 68.8161; 0.738257
38; 18; 65; 68.6019; 0.729345
39; 19; 65; 68.5983; 0.778376
40; 19; 65; 68.3824; 0.735236
41; 19; 65; 68.4026; 0.753722
42; 20; 65; 68.401; 0.747487
43; 21; 64; 68.1934; 0.705585
44; 21; 64; 67.8627; 0.832181
45; 21; 64; 67.885; 0.860881
46; 21; 64; 67.8745; 0.869998
47; 21; 64; 67.8621; 0.868211
48; 21; 64; 67.8488; 0.864527
49; 21; 64; 67.8483; 0.860574
50; 21; 64; 67.8246; 0.868703
51; 22; 63; 67.8068; 0.874731
52; 22; 63; 67.4665; 0.930136
53; 23; 62; 67.4885; 0.954515
54; 23; 62; 67.0811; 1.0627
55; 24; 62; 67.097; 1.08777
56; 25; 62; 66.8853; 1.04269
57; 25; 62; 66.6883; 0.999412
58; 26; 62; 66.6857; 0.997446
59; 27; 62; 66.5003; 0.956618
