temp; best; diff
0.000837044; 3644.29; -7439.88
0.000796218; 3644.29; -1521.63
0.000757384; 3644.29; -2383.91
0.000720445; 3644.29; 0
0.000685306; 3644.29; -2893.6
0.000651882; 3644.29; -707.743
0.000620088; 3644.29; -2199.81
0.000589844; 3644.29; -1669.98
0.000561076; 3644.29; -2787.89
0.00053371; 3644.29; -1988.35
0.00050768; 3644.29; -1426.9
0.000482919; 3644.29; -892.988
0.000459365; 3644.29; 0
0.000436961; 3644.29; -760.487
0.000415649; 3644.29; -1337.81
0.000395377; 3644.29; -6062.94
0.000376093; 3644.29; -1807.83
0.00035775; 3644.29; -1134.73
0.000340301; 3644.29; -1916.2
0.000323704; 3644.29; -351.767
0.000307916; 3644.29; -2528.18
0.000292898; 3644.29; -1850.82
0.000278612; 3644.29; -2151.75
0.000265024; 3644.29; -970.221
0.000252098; 3644.29; -1124.69
0.000239802; 3644.29; -7.825
0.000228106; 3644.29; -2997.93
0.000216981; 3644.29; 0
0.000206398; 3644.29; -699.169
0.000196331; 3644.29; -3440.92
0.000186756; 3644.29; -271.28
0.000177647; 3644.29; -390.779
0.000168983; 3644.29; -524.248
0.000160741; 3644.29; -502.054
0.000152901; 3644.29; -1394.4
0.000145444; 3644.29; -1444.08
0.00013835; 3644.29; -756.747
0.000131602; 3644.29; -1477.02
0.000125184; 3644.29; -2468.25
0.000119078; 3644.29; -225.226
0.00011327; 3644.29; -1319.56
0.000107746; 3644.29; -2480.64
0.000102491; 3644.29; -7148.6
9.74918e-05; 3644.29; -744.525
9.27369e-05; 3644.29; -129.468
8.82138e-05; 3644.29; -1007.49
8.39114e-05; 3644.29; -1130.11
7.98188e-05; 3644.29; -268.291
7.59258e-05; 3644.29; -729.724
7.22226e-05; 3644.29; -1661.28
6.87001e-05; 3644.29; -2175.46
6.53494e-05; 3644.29; -61.4781
6.21621e-05; 3644.29; -1459.49
5.91303e-05; 3644.29; -1822.22
5.62463e-05; 3644.29; -447.862
5.3503e-05; 3644.29; -2216.54
5.08935e-05; 3644.29; -399.834
4.84113e-05; 3644.29; -3044.15
4.60502e-05; 3644.29; -1082.75
4.38041e-05; 3644.29; -2476.77
4.16677e-05; 3644.29; -849.012
3.96354e-05; 3644.29; -931.987
3.77023e-05; 3644.29; -2344.46
3.58634e-05; 3644.29; -1915.87
3.41143e-05; 3644.29; -2383.67
3.24504e-05; 3644.29; 0
3.08677e-05; 3644.29; -1846.15
2.93622e-05; 3644.29; -1350.8
2.79301e-05; 3644.29; -1564.3
