gen; best; worst; avg; dev
600; 9; 10.215; 2.67559
610; 9; 9.7; 1.48324
620; 9; 9.68; 1.56767
630; 9; 9.72; 1.61604
640; 9; 9.7; 1.61864
650; 9; 9.69; 1.69526
660; 9; 9.635; 1.79493
670; 9; 9.88; 1.89884
680; 9; 9.86; 1.99259
690; 9; 10.085; 2.13957
700; 9; 10.22; 2.28508
710; 9; 10.355; 2.58437
720; 9; 10.235; 2.57678
730; 9; 10.03; 2.46558
740; 9; 10.4; 2.67955
750; 9; 9.795; 2.17554
760; 9; 9.645; 1.97458
770; 9; 9.695; 2.05961
780; 9; 9.99; 2.10711
790; 9; 9.71; 2.0263
800; 9; 9.79; 1.99397
810; 9; 9.955; 2.11021
820; 9; 9.795; 2.15011
830; 9; 10.01; 2.32162
840; 9; 10.115; 2.45189
850; 9; 9.885; 2.29386
860; 9; 9.84; 2.3589
870; 9; 9.805; 2.37212
880; 9; 9.955; 2.56963
890; 9; 9.54; 1.84347
900; 9; 9.635; 1.93437
910; 9; 9.245; 0.474315
920; 9; 9.32; 0.597997
930; 9; 9.37; 0.795676
940; 9; 9.625; 1.14646
950; 9; 9.48; 1.14438
960; 9; 9.555; 1.35166
970; 9; 9.71; 1.51192
980; 9; 9.88; 1.75943
990; 9; 9.885; 1.89256
1000; 9; 9.69; 1.74468
1010; 9; 9.905; 1.96621
1020; 9; 9.765; 1.91567
1030; 9; 9.575; 1.62615
1040; 9; 9.795; 1.77284
1050; 9; 9.765; 1.87344
1060; 9; 9.905; 1.98141
1070; 9; 10.025; 2.19417
1080; 9; 9.995; 2.25277
1090; 9; 9.87; 2.10549
1100; 9; 10.13; 2.23676
1110; 9; 10.08; 2.28333
1120; 9; 10.345; 2.47507
1130; 9; 10.12; 2.62785
1140; 9; 10.16; 2.8292
1150; 9; 10.045; 2.51853
1160; 9; 10.365; 2.7824
1170; 9; 10.205; 2.64253
1180; 9; 10.28; 2.72976
1190; 9; 10.34; 2.76485
1200; 9; 9.915; 2.41408
1210; 9; 9.9; 2.47992
1220; 9; 10.18; 2.75456
1230; 9; 9.74; 2.11007
1240; 9; 9.955; 2.01568
1250; 9; 9.87; 2.02314
1260; 9; 9.935; 2.10731
1270; 9; 9.655; 1.91728
1280; 9; 9.605; 1.88652
1290; 9; 9.77; 2.03399
1300; 9; 9.995; 2.09403
1310; 9; 9.885; 2.09088
1320; 9; 10.015; 2.1897
1330; 9; 9.91; 2.2095
1340; 9; 9.86; 2.18641
1350; 9; 9.635; 2.04738
1360; 9; 9.515; 1.29991
1370; 9; 9.525; 1.3818
1380; 9; 9.34; 0.551725
1390; 9; 9.465; 0.72026
1400; 9; 9.51; 0.984835
1410; 9; 9.7; 1.34907
1420; 9; 9.79; 1.66009
1430; 9; 9.555; 1.33678
1440; 9; 9.68; 1.47905
1450; 9; 9.71; 1.6929
1460; 9; 9.905; 1.85364
1470; 9; 9.5; 1.03923
