temp; best; diff
0.00102238; 74313.7; -161.761
0.000972513; 74313.7; -22.2798
0.000925081; 74313.7; -526.614
0.000879962; 74356.1; -39.3492
0.000837044; 74362.1; -10801.1
0.000796218; 74362.1; -1612.45
0.000757384; 74362.1; -193.573
0.000720445; 74402.3; -464.273
0.000685306; 74402.3; -1065.88
0.000651882; 74402.3; -244.613
0.000620088; 74402.3; -1339.96
0.000589844; 74402.3; -11713
0.000561076; 74412.4; -7404.48
0.00053371; 74412.4; -137.208
0.00050768; 74412.4; -227.176
0.000482919; 74412.4; -2940.19
0.000459365; 74412.4; -541.351
0.000436961; 74413.8; -445.181
0.000415649; 74413.8; -276.604
0.000395377; 74420.3; -4287.21
0.000376093; 74428.8; -7489.32
0.00035775; 74453.6; -2739.1
0.000340301; 74453.6; -319.871
0.000323704; 74453.6; -861.018
0.000307916; 74453.6; -1116.29
0.000292898; 74464.7; -3530.88
0.000278612; 74471.9; -1123.86
0.000265024; 74471.9; -246.689
0.000252098; 74471.9; -641.607
0.000239802; 74471.9; -2259.42
0.000228106; 74474.5; -861.521
0.000216981; 74484.7; -3032.01
0.000206398; 74484.7; -1120.26
0.000196331; 74498.1; -819.642
0.000186756; 74498.1; -555.261
0.000177647; 74498.1; -7362.15
0.000168983; 74498.1; -603.416
0.000160741; 74499.4; -286.777
0.000152901; 74505.8; -4209.2
0.000145444; 74505.8; -2862.91
0.00013835; 74511.6; -4.33188
0.000131602; 74511.6; -272.606
0.000125184; 74511.6; -184.877
0.000119078; 74511.6; -849.463
0.00011327; 74511.6; -7877.74
0.000107746; 74515.9; -6581
0.000102491; 74515.9; -2365.76
9.74918e-05; 74520.2; -1650.22
9.27369e-05; 74520.2; -5390.06
8.82138e-05; 74520.2; -4655.23
8.39114e-05; 74520.2; -680.733
7.98188e-05; 74520.2; -252.645
7.59258e-05; 74520.2; -48.3854
7.22226e-05; 74520.2; -4079.14
6.87001e-05; 74527.8; -162.716
6.53494e-05; 74527.8; -386.262
6.21621e-05; 74527.8; -618.356
5.91303e-05; 74527.8; -1532.25
5.62463e-05; 74531.6; -555.264
5.3503e-05; 74554.8; -540.904
5.08935e-05; 74561.4; -197.763
4.84113e-05; 74561.4; -156.916
4.60502e-05; 74561.4; -442.241
4.38041e-05; 74561.4; -733.027
4.16677e-05; 74599.2; -2463.41
3.96354e-05; 74599.2; -6057.52
3.77023e-05; 74599.2; -303.815
3.58634e-05; 74605.6; -410.248
3.41143e-05; 74609.6; -616.878
3.24504e-05; 74614.7; -406.206
3.08677e-05; 74614.7; -1153.07
2.93622e-05; 74656.2; -11369.6
2.79301e-05; 74664.6; -558.509
2.65679e-05; 74668.2; -245.516
2.52721e-05; 74672.8; -3142.75
2.40395e-05; 74672.8; -323.085
2.2867e-05; 74672.8; -512.501
2.17517e-05; 74685.2; -321.833
2.06908e-05; 74685.2; -4270.56
1.96817e-05; 74685.2; -216.824
1.87218e-05; 74685.2; -9565.65
1.78086e-05; 74695.8; -232.522
1.69401e-05; 74707.5; -414.342
1.61138e-05; 74707.5; -5036.2
1.53279e-05; 74707.5; -2286.66
1.45803e-05; 74707.5; -554.131
1.38692e-05; 74723.8; -10.9646
1.31928e-05; 74723.8; -156.899
1.25493e-05; 74723.8; -567.766
1.19372e-05; 74723.8; -1110.1
1.1355e-05; 74723.8; -3454.2
1.08012e-05; 74723.8; -637.507
1.02744e-05; 74723.8; -2402.15
9.77329e-06; 74723.8; -1226.17
9.29662e-06; 74723.8; -10234.2
8.8432e-06; 74723.8; -359.378
8.41189e-06; 74723.8; -334.86
8.00162e-06; 74723.8; -5513.11
7.61135e-06; 74723.8; -1449.23
7.24013e-06; 74723.8; -978.505
6.887e-06; 74723.8; -490.537
6.5511e-06; 74723.8; -1778.87
6.23159e-06; 74723.8; -3135.06
5.92765e-06; 74723.8; -455.127
5.63854e-06; 74741; -220.783
5.36354e-06; 74741; -833.665
5.10194e-06; 74741; -256.028
4.8531e-06; 74741; -161.966
4.6164e-06; 74741; -111.058
4.39125e-06; 74741; -512.371
4.17707e-06; 74743.6; -1027.69
3.97335e-06; 74746.7; -828.262
3.77955e-06; 74746.7; -68.6484
3.59521e-06; 74746.7; -953.534
3.41986e-06; 74746.7; -1767.18
3.25307e-06; 74755.1; -8164.22
3.09441e-06; 74755.1; -545.789
2.94348e-06; 74755.1; -333.627
2.79992e-06; 74761.3; -4791.29
2.66336e-06; 74761.3; -1541.22
2.53346e-06; 74761.3; -5726.06
2.4099e-06; 74761.3; -506.648
2.29236e-06; 74761.3; -505.758
2.18055e-06; 74761.3; -5297.99
2.0742e-06; 74779.6; -54.48
1.97304e-06; 74779.6; -2543.28
1.87681e-06; 74779.6; -184.876
1.78527e-06; 74779.6; -497.688
1.6982e-06; 74779.6; -348.612
1.61537e-06; 74779.6; -892.385
1.53658e-06; 74779.6; -691.185
