temp; best; diff
0.000436961; -115615; -7663.96
0.000415649; -115615; -25041.9
0.000395377; -115615; -3554.46
0.000376093; -115615; -2357.96
0.00035775; -115615; -25274.9
0.000340301; -115615; -16001.5
0.000323704; -115615; -12398.7
0.000307916; -115615; -19487.7
0.000292898; -115615; -10971.7
0.000278612; -115615; -16397.3
0.000265024; -115615; -29792.3
0.000252098; -115615; -14519.7
0.000239802; -115615; -15946.1
0.000228106; -115615; -30044.1
0.000216981; -115615; -44650.1
0.000206398; -115615; -466.91
0.000196331; -115615; -37220.7
0.000186756; -115615; -12404.4
0.000177647; -115615; -17625.7
0.000168983; -115615; -12279.2
0.000160741; -115615; -15826
0.000152901; -115615; -40371.2
0.000145444; -115615; -1259.16
0.00013835; -115615; -16583.1
0.000131602; -115615; -14183.3
0.000125184; -115615; -15501.7
0.000119078; -115615; -6048.32
0.00011327; -115615; -23413.6
0.000107746; -115615; -4338.38
0.000102491; -115615; -8438.73
9.74918e-05; -115615; -6092.4
9.27369e-05; -115615; -12091.2
8.82138e-05; -115615; -6383.22
8.39114e-05; -115615; -5048.8
7.98188e-05; -115615; -24712.7
7.59258e-05; -115615; -9481.33
7.22226e-05; -115615; -13093.3
6.87001e-05; -115615; -25399.5
6.53494e-05; -115615; -11519.3
6.21621e-05; -115615; -40543.7
5.91303e-05; -115615; -1648.55
5.62463e-05; -115615; -6725.76
5.3503e-05; -115615; 0
5.08935e-05; -115615; -15938.4
4.84113e-05; -115615; -35156.8
4.60502e-05; -115615; -9469.01
4.38041e-05; -115615; -3470.99
4.16677e-05; -115615; -3729.3
3.96354e-05; -115615; -44670.1
3.77023e-05; -115615; -17182.8
3.58634e-05; -115615; -27769.7
3.41143e-05; -115615; 0
3.24504e-05; -115615; -21260.4
3.08677e-05; -115615; -19138.7
2.93622e-05; -115615; -6783.14
2.79301e-05; -115615; -21306
2.65679e-05; -115615; -12907
2.52721e-05; -115615; -22707.9
2.40395e-05; -115615; -17993.9
2.2867e-05; -115615; -18892.5
2.17517e-05; -115615; -21439.7
2.06908e-05; -115615; -5106.92
1.96817e-05; -115615; -10036.3
1.87218e-05; -115615; -37916.6
1.78086e-05; -115615; -10254.8
1.69401e-05; -115615; -957.725
1.61138e-05; -115615; -4233.32
1.53279e-05; -115615; -3444.77
1.45803e-05; -115615; -22161.5
1.38692e-05; -115615; -4698.92
1.31928e-05; -115615; -476.357
1.25493e-05; -115615; -1391.57
1.19372e-05; -115615; -6975.07
1.1355e-05; -115615; -18748.5
1.08012e-05; -115615; -12657.3
1.02744e-05; -115615; -18250
9.77329e-06; -115615; -1304.01
9.29662e-06; -115615; -23057.9
8.8432e-06; -115615; -9943.9
8.41189e-06; -115615; -8818
8.00162e-06; -115615; -28984.4
7.61135e-06; -115615; -6851.43
7.24013e-06; -115615; -19640.1
6.887e-06; -115615; -20489.2
6.5511e-06; -115615; -36532
6.23159e-06; -115615; -14963.6
5.92765e-06; -115615; -32676
5.63854e-06; -115615; -18366.8
5.36354e-06; -115615; -11163.2
5.10194e-06; -115615; -23049.7
4.8531e-06; -115615; -4486.99
4.6164e-06; -115615; -16987.3
4.39125e-06; -115615; -14183.3
4.17707e-06; -115615; -10421.7
3.97335e-06; -115615; -15587.4
3.77955e-06; -115615; -8058.65
3.59521e-06; -115615; -26584.8
3.41986e-06; -115615; -23652.5
3.25307e-06; -115615; -17414.5
3.09441e-06; -115615; -5315.61
2.94348e-06; -115615; -19738.3
2.79992e-06; -115615; -1055.24
2.66336e-06; -115615; -15009.4
2.53346e-06; -115615; -17723.6
2.4099e-06; -115615; -3671.48
2.29236e-06; -115615; -24079.5
2.18055e-06; -115615; -7187.85
2.0742e-06; -115615; -14815
1.97304e-06; -115615; -24057.5
1.87681e-06; -115615; 0
1.78527e-06; -115615; -10751.4
1.6982e-06; -115615; -13676.6
1.61537e-06; -115615; 0
1.53658e-06; -115615; -5857.69
1.46164e-06; -115615; -11654.2
1.39035e-06; -115615; -19629.3
1.32254e-06; -115615; -27725.2
1.25804e-06; -115615; -2643.92
1.19668e-06; -115615; -18202.6
1.13831e-06; -115615; -15336.9
1.08279e-06; -115615; -25944.4
1.02998e-06; -115615; -15252.6
9.79746e-07; -115615; -3735.35
9.31961e-07; -115615; -1176.63
8.86507e-07; -115615; 0
8.43269e-07; -115615; -35434
8.02141e-07; -115615; -6217.22
7.63018e-07; -115615; -32032.3
7.25803e-07; -115615; -43944.3
6.90404e-07; -115615; -19469.4
6.56731e-07; -115615; -15543.5
6.247e-07; -115615; -5567.77
5.94231e-07; -115615; -27116.9
5.65249e-07; -115615; -14984.3
5.3768e-07; -115615; -4551.6
5.11456e-07; -115615; -401.236
4.86511e-07; -115615; -21650.8
4.62782e-07; -115615; -31390.2
4.40211e-07; -115615; -12063.7
4.1874e-07; -115615; -23735.8
3.98317e-07; -115615; -21222.3
3.7889e-07; -115615; -2597.75
3.60411e-07; -115615; -15302.5
3.42832e-07; -115615; -2588.83
3.26111e-07; -115615; -7424.53
3.10206e-07; -115615; -21196.8
2.95076e-07; -115615; -37327.2
2.80685e-07; -115615; -8256.3
2.66995e-07; -115615; -15965.1
2.53973e-07; -115615; -27168.2
2.41586e-07; -115615; -4306.67
2.29803e-07; -115615; -17745.8
2.18595e-07; -115615; -25440.2
2.07933e-07; -115615; -19710.2
1.97792e-07; -115615; -29853.5
1.88145e-07; -115615; -4439.42
1.78968e-07; -115615; -22494.3
1.7024e-07; -115615; -11172.7
1.61936e-07; -115615; -4521.45
1.54038e-07; -115615; -896.047
1.46525e-07; -115615; -14388.4
1.39379e-07; -115615; -13515.9
1.32581e-07; -115615; -7537.35
1.26115e-07; -115615; -18467.2
1.19964e-07; -115615; -28071.6
1.14113e-07; -115615; -1478.51
1.08547e-07; -115615; -33475.9
1.03253e-07; -115615; -21362.8
9.82169e-08; -115615; -3154.89
9.34266e-08; -115615; -16409.2
8.88699e-08; -115615; -14420.6
8.45355e-08; -115615; -15343.2
8.04124e-08; -115615; -41422.4
7.64905e-08; -115615; -2343.95
7.27598e-08; -115615; 0
6.92111e-08; -115615; -27964.7
6.58355e-08; -115615; -14522.6
6.26245e-08; -115615; -15301.4
5.95701e-08; -115615; -8021.36
5.66647e-08; -115615; -30980.6
5.3901e-08; -115615; 0
5.12721e-08; -115615; -13520
4.87714e-08; -115615; -1521.39
4.63927e-08; -115615; -14177.2
4.413e-08; -115615; -13520
4.19776e-08; -115615; -17440.6
3.99302e-08; -115615; -18644.3
3.79827e-08; -115615; -36001.9
3.61302e-08; -115615; -26115.1
3.4368e-08; -115615; -6507.9
3.26918e-08; -115615; -9880.3
3.10973e-08; -115615; -20083.7
2.95806e-08; -115615; -47403.3
2.81379e-08; -115615; -14030.1
2.67655e-08; -115615; -6467.74
2.54601e-08; -115615; -11847.6
2.42183e-08; -115615; -8838.63
2.30371e-08; -115615; -29185.3
2.19135e-08; -115615; -3698.34
2.08447e-08; -115615; -28213.4
1.98281e-08; -115615; -4977.76
1.8861e-08; -115615; -5315.61
1.79411e-08; -115615; -3236.38
1.70661e-08; -115615; -3999.89
1.62337e-08; -115615; -15989.6
1.54419e-08; -115615; -9165.71
1.46888e-08; -115615; -16128.2
1.39724e-08; -115615; -2370.63
1.32909e-08; -115615; -4436.66
1.26427e-08; -115615; -12996.9
1.2026e-08; -115615; -25209.2
1.14395e-08; -115615; -3568.96
1.08816e-08; -115615; -10418.1
1.03508e-08; -115615; -18659.9
9.84599e-09; -115615; -14577.6
9.36577e-09; -115615; -19038.3
8.90897e-09; -115615; -4204.13
8.47445e-09; -115615; -4477.47
