it; best; temp
3660; 9; 0.000538822
3670; 9; 0.000512479
3680; 9; 0.000487424
3690; 9; 0.000463594
3700; 9; 0.000440929
3710; 9; 0.000419372
3720; 9; 0.000398869
3730; 9; 0.000379368
3740; 9; 0.000360821
3750; 9; 0.000343181
3760; 9; 0.000326403
3770; 9; 0.000310445
3780; 9; 0.000295267
3790; 9; 0.000280832
3800; 9; 0.000267102
3810; 9; 0.000254043
3820; 9; 0.000241623
3830; 9; 0.00022981
3840; 9; 0.000218575
3850; 9; 0.000207889
3860; 9; 0.000197725
3870; 9; 0.000188058
3880; 9; 0.000178864
3890; 9; 0.00017012
3900; 9; 0.000161802
3910; 9; 0.000153892
3920; 9; 0.000146368
3930; 9; 0.000139212
3940; 8; 0.000132406
3950; 8; 0.000125933
3960; 8; 0.000119776
3970; 8; 0.00011392
3980; 8; 0.000108351
3990; 8; 0.000103053
4000; 8; 9.80151e-05
4010; 8; 9.32232e-05
4020; 8; 8.86655e-05
4030; 8; 8.43306e-05
4040; 8; 8.02077e-05
4050; 8; 7.62864e-05
4060; 8; 7.25568e-05
4070; 8; 6.90095e-05
4080; 8; 6.56356e-05
4090; 8; 6.24267e-05
4100; 8; 5.93746e-05
4110; 8; 5.64718e-05
4120; 8; 5.37109e-05
4130; 8; 5.1085e-05
4140; 8; 4.85875e-05
4150; 8; 4.6212e-05
4160; 8; 4.39527e-05
4170; 8; 4.18039e-05
4180; 8; 3.97601e-05
4190; 8; 3.78162e-05
4200; 8; 3.59674e-05
4210; 8; 3.4209e-05
4220; 8; 3.25365e-05
4230; 8; 3.09458e-05
4240; 8; 2.94329e-05
4250; 8; 2.79939e-05
4260; 8; 2.66253e-05
4270; 8; 2.53236e-05
4280; 8; 2.40855e-05
4290; 8; 2.2908e-05
4300; 8; 2.1788e-05
4310; 8; 2.07228e-05
4320; 8; 1.97096e-05
4330; 8; 1.8746e-05
4340; 8; 1.78296e-05
4350; 8; 1.69579e-05
4360; 8; 1.61288e-05
4370; 8; 1.53403e-05
4380; 8; 1.45903e-05
4390; 8; 1.3877e-05
4400; 8; 1.31985e-05
4410; 8; 1.25532e-05
4420; 8; 1.19395e-05
4430; 8; 1.13558e-05
4440; 8; 1.08006e-05
4450; 8; 1.02726e-05
4460; 8; 9.77035e-06
4470; 8; 9.29268e-06
4480; 8; 8.83836e-06
4490; 8; 8.40625e-06
4500; 8; 7.99527e-06
4510; 8; 7.60439e-06
4520; 8; 7.23261e-06
4530; 8; 6.87901e-06
4540; 8; 6.54269e-06
4550; 8; 6.22282e-06
4560; 8; 5.91859e-06
4570; 8; 5.62923e-06
4580; 8; 5.35402e-06
4590; 8; 5.09226e-06
4600; 8; 4.8433e-06
4610; 8; 4.60651e-06
4620; 8; 4.3813e-06
4630; 8; 4.1671e-06
4640; 8; 3.96337e-06
4650; 8; 3.7696e-06
4660; 8; 3.58531e-06
4670; 8; 3.41002e-06
4680; 8; 3.24331e-06
4690; 8; 3.08474e-06
4700; 8; 2.93393e-06
4710; 8; 2.79049e-06
4720; 7; 2.65406e-06
4730; 7; 2.52431e-06
4740; 7; 2.40089e-06
4750; 7; 2.28351e-06
4760; 7; 2.17187e-06
4770; 7; 2.06569e-06
4780; 7; 1.9647e-06
4790; 7; 1.86864e-06
4800; 7; 1.77729e-06
4810; 7; 1.6904e-06
4820; 7; 1.60775e-06
4830; 7; 1.52915e-06
4840; 7; 1.45439e-06
