iteration; subpops; biggest_subpop; best; avg; dev
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 1; 2; 8; 8; 0
4; 2; 4; 8; 8; 0
5; 2; 4; 8; 8; 0
6; 3; 8; 8; 8; 0.235702
7; 3; 8; 7; 7.83333; 0.31427
8; 3; 8; 6; 7.66667; 0.340459
9; 3; 8; 5; 7.58333; 0.44682
10; 4; 16; 5; 7.67188; 0.677701
11; 4; 16; 5; 7.375; 0.57877
12; 4; 16; 5; 7.26562; 0.542098
13; 4; 16; 5; 7.1875; 0.493778
14; 4; 16; 5; 7.1875; 0.493778
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8.5; 0.5
1; 2; 4; 8; 8.25; 0.5
2; 2; 4; 7; 8.25; 0.933013
3; 2; 4; 7; 7.875; 0.841506
4; 2; 4; 7; 7.75; 0.670753
5; 3; 8; 7; 7.79167; 0.663478
6; 3; 8; 7; 7.79167; 0.661052
7; 3; 8; 7; 7.79167; 0.660244
8; 3; 8; 7; 7.79167; 0.826641
9; 3; 8; 6; 7.70833; 0.901779
10; 3; 8; 6; 7.45833; 0.791791
11; 3; 8; 6; 7.375; 0.735457
12; 3; 8; 5; 7.29167; 0.881823
13; 3; 8; 5; 7.29167; 0.881823
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 1; 2; 8; 8; 0
4; 2; 4; 8; 8; 0.25
5; 2; 4; 8; 8; 0.375
6; 2; 4; 8; 8; 0.4375
7; 2; 4; 7; 7.875; 0.498258
8; 3; 8; 7; 7.875; 0.688353
9; 3; 8; 6; 7.58333; 0.651492
10; 3; 8; 6; 7.41667; 0.57017
11; 3; 8; 6; 7.375; 0.629844
12; 4; 16; 6; 7.54688; 0.819861
13; 4; 16; 5; 7.39062; 0.785532
14; 4; 16; 5; 7.09375; 0.634477
15; 4; 16; 5; 6.9375; 0.571986
16; 4; 16; 5; 6.8125; 0.523586
17; 4; 16; 5; 6.8125; 0.523586
