iteration; subpops; biggest_subpop; best; avg; dev
136; 6; 64; 33; 69.2708; 2.11206
137; 6; 64; 33; 69.2708; 2.13073
138; 6; 64; 32; 69.2604; 2.13331
139; 6; 64; 32; 68.1562; 1.67332
140; 6; 64; 32; 68.0885; 1.58464
141; 6; 64; 32; 68.0885; 1.5666
142; 6; 64; 32; 68.0573; 1.55371
143; 6; 64; 32; 68.0469; 1.55095
144; 6; 64; 32; 68.0469; 1.55049
145; 6; 64; 32; 67.9948; 1.54301
146; 6; 64; 32; 67.9948; 1.54889
147; 6; 64; 32; 67.974; 1.54756
148; 6; 64; 32; 67.974; 1.54734
149; 6; 64; 32; 67.974; 1.53869
150; 6; 64; 32; 67.9219; 1.55466
151; 6; 64; 32; 67.9115; 1.54551
152; 6; 64; 32; 67.901; 1.55317
153; 6; 64; 32; 67.8906; 1.56857
154; 6; 64; 32; 67.8698; 1.56883
155; 6; 64; 32; 67.8073; 1.54892
156; 6; 64; 32; 67.8073; 1.5456
157; 6; 64; 32; 67.8073; 1.54026
158; 6; 64; 32; 67.776; 1.53366
159; 6; 64; 32; 67.776; 1.53256
160; 7; 128; 32; 74.5156; 6.20736
161; 7; 128; 32; 73.9888; 6.78742
162; 7; 128; 32; 73.9621; 6.88543
163; 7; 128; 32; 73.9621; 6.90055
164; 7; 128; 32; 73.9531; 6.90216
165; 7; 128; 32; 73.9531; 6.90239
166; 7; 128; 32; 73.9531; 6.90242
167; 7; 128; 32; 73.904; 6.95223
168; 7; 128; 32; 73.904; 6.95935
169; 7; 128; 32; 73.8951; 6.95867
170; 7; 128; 32; 73.8862; 6.95566
171; 7; 128; 32; 73.8772; 6.95091
172; 7; 128; 32; 73.7299; 6.85061
173; 7; 128; 32; 73.721; 6.83564
174; 7; 128; 32; 73.721; 6.8335
175; 7; 128; 32; 73.721; 6.82781
176; 7; 128; 32; 73.7121; 6.82628
177; 7; 128; 32; 73.6719; 6.79929
178; 7; 128; 32; 73.6719; 6.79544
179; 7; 128; 32; 73.6719; 6.80886
180; 7; 128; 31; 73.6629; 6.80291
181; 7; 128; 31; 73.654; 6.80141
182; 7; 128; 31; 73.2076; 6.69725
183; 7; 128; 31; 73.2076; 6.69725
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 115; 116; 1
1; 1; 2; 115; 116; 2
2; 2; 4; 110; 115.375; 3.78104
3; 3; 8; 104; 115.333; 6.99004
4; 3; 8; 92; 111.5; 8.55805
5; 3; 8; 82; 107.167; 7.46553
6; 3; 8; 80; 104.458; 5.79251
7; 4; 16; 80; 107.172; 10.0755
8; 4; 16; 74; 106.234; 10.9596
9; 4; 16; 69; 105.359; 11.339
10; 4; 16; 67; 104.328; 11.2585
11; 4; 16; 62; 103.484; 11.3222
12; 4; 16; 62; 97.3594; 10.2093
13; 4; 16; 58; 96.4844; 9.76427
14; 4; 16; 54; 95.7656; 9.77905
15; 4; 16; 52; 94.9531; 9.78695
16; 4; 16; 52; 94.1719; 9.51987
17; 4; 16; 52; 89.1719; 6.5462
18; 4; 16; 51; 88.6406; 5.53589
19; 4; 16; 50; 88.3906; 5.15319
20; 4; 16; 50; 88.2969; 5.05194
21; 4; 16; 50; 88.2031; 4.97433
22; 4; 16; 50; 86.125; 4.05008
23; 4; 16; 49; 86; 3.97617
24; 4; 16; 49; 85.6562; 3.6969
25; 4; 16; 47; 85.5938; 3.72835
26; 4; 16; 47; 85.5312; 3.71618
27; 5; 32; 47; 91.6188; 10.2599
28; 5; 32; 47; 90.6688; 11.0747
29; 5; 32; 47; 90.6188; 11.2718
30; 5; 32; 47; 90.5438; 11.3413
31; 5; 32; 47; 90.4188; 11.263
32; 5; 32; 47; 90.3187; 11.1936
33; 5; 32; 47; 89.9062; 11.1658
34; 5; 32; 47; 89.9062; 11.1191
35; 5; 32; 47; 89.8812; 11.0847
36; 5; 32; 47; 89.8812; 11.0779
37; 5; 32; 47; 89.8812; 11.0765
38; 5; 32; 47; 89.5187; 11.3113
39; 5; 32; 47; 89.5187; 11.3582
40; 5; 32; 47; 89.5187; 11.3676
41; 5; 32; 47; 89.5187; 11.3695
42; 5; 32; 47; 89.5187; 11.3699
43; 5; 32; 47; 88.8688; 11.0639
44; 5; 32; 47; 88.8688; 11.0027
45; 5; 32; 47; 88.8688; 10.9905
46; 5; 32; 47; 88.8688; 10.988
47; 5; 32; 47; 88.8688; 10.9875
48; 5; 32; 47; 81.5938; 6.25568
49; 5; 32; 46; 81.2687; 5.55366
50; 5; 32; 46; 81.2687; 5.41326
51; 5; 32; 46; 81.2687; 5.38518
52; 5; 32; 46; 81.2687; 5.37956
53; 5; 32; 46; 81.2687; 5.37844
54; 5; 32; 44; 80.6688; 4.91159
55; 5; 32; 43; 80.5563; 4.8574
56; 5; 32; 42; 80.4437; 4.94876
57; 5; 32; 42; 77.925; 3.88712
58; 5; 32; 41; 77.725; 3.59535
59; 5; 32; 41; 77.575; 3.55033
60; 5; 32; 40; 77.4; 3.48731
61; 5; 32; 40; 77.275; 3.46083
62; 5; 32; 40; 75.8438; 2.98159
63; 5; 32; 40; 75.7313; 2.84062
64; 5; 32; 40; 75.6688; 2.81663
65; 5; 32; 39; 75.6188; 2.80202
66; 5; 32; 38; 75.5187; 2.81804
67; 6; 64; 38; 82.1823; 8.01571
68; 6; 64; 38; 81.3802; 8.60078
69; 6; 64; 38; 81.3177; 8.78982
70; 6; 64; 37; 81.1719; 8.75926
71; 6; 64; 37; 81.1406; 8.7538
72; 6; 64; 37; 81.099; 8.75726
73; 6; 64; 37; 80.5781; 8.56894
74; 6; 64; 36; 80.5156; 8.56148
75; 6; 64; 36; 80.4115; 8.54536
76; 6; 64; 36; 80.3385; 8.49057
77; 6; 64; 36; 80.2969; 8.46865
78; 6; 64; 36; 79.9896; 8.4772
79; 6; 64; 36; 79.9271; 8.46649
80; 6; 64; 34; 79.9062; 8.49161
81; 6; 64; 34; 79.8958; 8.51185
82; 6; 64; 34; 79.875; 8.51608
83; 6; 64; 34; 79.5729; 8.45345
84; 6; 64; 34; 79.5208; 8.43371
85; 6; 64; 34; 79.5104; 8.41931
86; 6; 64; 34; 79.4583; 8.39856
87; 6; 64; 34; 79.4062; 8.38536
88; 6; 64; 34; 73.7552; 4.94479
89; 6; 64; 34; 73.4896; 4.34037
90; 6; 64; 34; 73.4583; 4.23316
91; 6; 64; 34; 73.4583; 4.21529
92; 6; 64; 34; 73.4583; 4.21231
93; 6; 64; 34; 73.4583; 4.2176
94; 6; 64; 34; 73.2604; 4.18077
95; 6; 64; 34; 73.25; 4.17803
96; 6; 64; 34; 73.2396; 4.17691
97; 6; 64; 34; 73.2396; 4.19809
98; 6; 64; 33; 73.2292; 4.20321
99; 6; 64; 33; 73.0677; 4.16996
100; 6; 64; 33; 73.0469; 4.16014
101; 6; 64; 33; 73.026; 4.16689
102; 6; 64; 33; 73.0052; 4.16072
103; 6; 64; 33; 72.9948; 4.1524
104; 6; 64; 33; 72.8542; 4.12685
105; 6; 64; 33; 72.8438; 4.11341
106; 6; 64; 33; 72.8333; 4.09935
107; 6; 64; 33; 72.8229; 4.09626
108; 6; 64; 33; 72.8229; 4.08042
109; 6; 64; 33; 70.625; 3.09535
110; 6; 64; 33; 70.5312; 2.97783
111; 6; 64; 33; 70.5208; 2.97726
112; 6; 64; 33; 70.5; 2.98538
113; 6; 64; 33; 70.4792; 2.9893
114; 6; 64; 33; 70.4583; 2.98739
115; 6; 64; 33; 70.3229; 2.95511
116; 6; 64; 33; 70.2708; 2.93145
117; 6; 64; 33; 70.2708; 2.91855
118; 6; 64; 33; 70.2604; 2.88114
119; 6; 64; 33; 70.2396; 2.85407
120; 6; 64; 33; 70.1562; 2.85858
121; 6; 64; 33; 70.1562; 2.901
122; 6; 64; 32; 70.1458; 2.90674
123; 6; 64; 32; 70.1458; 2.9077
124; 6; 64; 32; 70.1458; 2.92361
125; 6; 64; 32; 69.9948; 2.90633
126; 6; 64; 32; 69.9844; 2.90247
127; 6; 64; 32; 69.9844; 2.90183
128; 6; 64; 32; 69.9844; 2.90172
129; 6; 64; 32; 69.9844; 2.91246
130; 6; 64; 32; 68.7812; 2.54221
131; 6; 64; 32; 68.6771; 2.45379
132; 6; 64; 32; 68.6667; 2.44608
133; 6; 64; 32; 68.6562; 2.44405
134; 6; 64; 32; 68.6562; 2.4495
135; 6; 64; 32; 68.6458; 2.44971
136; 6; 64; 32; 68.5365; 2.45985
137; 6; 64; 32; 68.5365; 2.46564
138; 6; 64; 32; 68.526; 2.47115
139; 6; 64; 32; 68.5052; 2.4695
140; 6; 64; 32; 68.4948; 2.46858
141; 6; 64; 32; 68.3906; 2.43105
142; 6; 64; 32; 68.3906; 2.42479
143; 6; 64; 32; 68.3906; 2.42243
144; 6; 64; 32; 68.3802; 2.40977
145; 6; 64; 32; 68.3385; 2.39369
146; 6; 64; 32; 68.2552; 2.43084
147; 6; 64; 32; 68.2552; 2.43703
148; 6; 64; 32; 68.2552; 2.43806
149; 6; 64; 32; 68.2552; 2.43823
150; 6; 64; 32; 68.2552; 2.43826
151; 7; 128; 32; 75.0837; 7.1481
152; 7; 128; 32; 74.3962; 7.55769
153; 7; 128; 32; 74.2891; 7.58139
154; 7; 128; 32; 74.2891; 7.58477
155; 7; 128; 32; 74.2891; 7.58526
156; 7; 128; 32; 74.2891; 7.58533
157; 7; 128; 32; 74.2891; 7.58534
158; 7; 128; 32; 74.2355; 7.57187
159; 7; 128; 32; 74.2355; 7.55841
160; 7; 128; 32; 74.2266; 7.55536
161; 7; 128; 32; 74.2266; 7.55492
162; 7; 128; 32; 74.2266; 7.55486
163; 7; 128; 32; 74.1953; 7.5794
164; 7; 128; 32; 74.1953; 7.5829
165; 7; 128; 32; 74.1953; 7.5834
166; 7; 128; 32; 74.1953; 7.58348
167; 7; 128; 32; 74.1953; 7.58349
168; 7; 128; 32; 74.1507; 7.59757
169; 7; 128; 32; 74.1507; 7.59959
170; 7; 128; 32; 74.1507; 7.59987
171; 7; 128; 32; 74.1507; 7.59992
172; 7; 128; 32; 74.1507; 7.59992
173; 7; 128; 32; 73.7377; 7.5335
174; 7; 128; 32; 73.7377; 7.5335
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 114; 115.5; 1.5
1; 1; 2; 114; 115.5; 3
2; 2; 4; 100; 116.75; 9.48706
3; 2; 4; 100; 109.75; 7.38099
4; 2; 4; 100; 107.875; 5.44828
5; 2; 4; 95; 107.25; 4.56386
6; 3; 8; 95; 110.083; 8.6521
7; 3; 8; 95; 109.833; 10.397
8; 3; 8; 94; 108.75; 10.1057
9; 3; 8; 94; 108.583; 10.0616
10; 3; 8; 93; 108.417; 9.99389
11; 3; 8; 93; 102.542; 5.91307
12; 3; 8; 93; 102.375; 4.48376
13; 3; 8; 86; 100.625; 4.45216
14; 3; 8; 78; 98.4583; 4.54247
15; 4; 16; 78; 102.062; 10.9613
16; 4; 16; 73; 100.312; 11.6113
17; 4; 16; 73; 99.8438; 11.695
18; 4; 16; 68; 99.25; 12.1606
19; 4; 16; 66; 98.125; 12.1477
20; 4; 16; 66; 90.6094; 8.70103
21; 4; 16; 64; 89.5781; 7.43675
22; 4; 16; 62; 89.0469; 6.87028
23; 4; 16; 62; 88.6719; 6.5655
24; 4; 16; 59; 88.5156; 6.79222
25; 4; 16; 59; 84.4531; 4.41496
26; 4; 16; 59; 84.0156; 3.75815
27; 4; 16; 58; 83.5469; 3.29886
28; 4; 16; 57; 83.3594; 3.30538
29; 4; 16; 56; 83.0781; 3.13384
30; 4; 16; 53; 81.4844; 2.75323
31; 5; 32; 53; 88.3312; 9.19165
32; 5; 32; 52; 87.3187; 9.91653
33; 5; 32; 49; 86.8937; 10.1476
34; 5; 32; 48; 86.3563; 9.89019
35; 5; 32; 47; 86.1688; 9.88586
36; 5; 32; 47; 79.125; 5.52027
37; 5; 32; 44; 78.8875; 4.78268
38; 5; 32; 44; 78.5; 4.62669
39; 5; 32; 42; 78.075; 4.33702
40; 5; 32; 42; 77.95; 4.27742
41; 5; 32; 42; 75.2938; 3.17562
42; 5; 32; 42; 75.1562; 2.97621
43; 5; 32; 41; 75.0187; 2.94042
44; 5; 32; 40; 74.9562; 2.94578
45; 5; 32; 40; 74.8812; 2.94193
46; 5; 32; 40; 73.3; 2.28355
47; 5; 32; 39; 73.2375; 2.1337
48; 5; 32; 39; 73.1125; 2.04359
49; 5; 32; 39; 73.0875; 2.04423
50; 5; 32; 39; 73.0125; 2.01656
51; 6; 64; 39; 80.2708; 7.5701
52; 6; 64; 39; 79.5156; 8.30718
53; 6; 64; 39; 79.4844; 8.44348
54; 6; 64; 38; 79.4115; 8.46575
55; 6; 64; 37; 79.3698; 8.51547
56; 6; 64; 37; 79.2969; 8.5135
57; 6; 64; 37; 78.75; 8.31792
58; 6; 64; 37; 78.7188; 8.29299
59; 6; 64; 37; 78.6979; 8.29522
60; 6; 64; 37; 78.6771; 8.30653
61; 6; 64; 36; 78.6458; 8.3256
62; 6; 64; 36; 78.3021; 8.32573
63; 6; 64; 36; 78.1875; 8.27766
64; 6; 64; 35; 78.0938; 8.25357
65; 6; 64; 35; 78.0208; 8.23039
66; 6; 64; 35; 77.9479; 8.22326
67; 6; 64; 35; 77.5833; 8.06126
68; 6; 64; 35; 77.5521; 8.06098
69; 6; 64; 34; 77.4583; 8.01453
70; 6; 64; 34; 77.4375; 8.01658
71; 6; 64; 34; 77.4062; 8.01429
72; 6; 64; 34; 71.5339; 4.53376
73; 6; 64; 34; 71.3464; 3.95803
74; 6; 64; 34; 71.3151; 3.84528
75; 6; 64; 34; 71.2943; 3.84487
76; 6; 64; 33; 71.2734; 3.86831
77; 6; 64; 33; 71.2214; 3.85917
78; 6; 64; 33; 71.0339; 3.786
79; 6; 64; 33; 71.0026; 3.75573
