iteration; levels; best; avg; dev
58; 23; 15; 21.648; 1.65377
59; 23; 15; 21.6309; 1.65399
60; 23; 15; 21.6248; 1.64893
61; 23; 15; 21.6092; 1.64107
62; 23; 15; 21.5908; 1.64054
63; 23; 15; 21.5704; 1.64171
64; 23; 15; 21.5585; 1.63504
65; 23; 15; 21.5141; 1.64542
66; 23; 15; 21.4981; 1.64469
67; 23; 15; 21.479; 1.64096
68; 23; 15; 21.4626; 1.63947
69; 23; 15; 21.4783; 1.67766
70; 23; 15; 21.4456; 1.68418
71; 23; 15; 21.429; 1.67874
72; 23; 15; 21.3965; 1.68893
73; 24; 15; 21.3933; 1.68722
74; 24; 15; 21.0995; 1.6155
75; 24; 15; 21.0995; 1.60978
76; 24; 15; 21.0871; 1.60637
77; 24; 15; 21.0816; 1.60466
78; 24; 15; 21.0707; 1.60477
79; 24; 15; 21.0511; 1.60438
80; 24; 15; 21.0479; 1.5984
81; 24; 15; 21.0569; 1.62172
82; 24; 15; 21.0456; 1.61819
83; 24; 15; 21.0217; 1.61807
84; 24; 15; 20.9934; 1.61698
85; 24; 15; 20.9852; 1.6149
86; 24; 15; 20.9691; 1.61605
87; 24; 15; 20.9527; 1.61483
iteration; levels; best; avg; dev
0; 1; 48; 0; 0
1; 2; 45; 48; 0
2; 3; 40; 45.75; 0.75
3; 3; 40; 42.2778; 2.18328
4; 3; 40; 42.0833; 2.57146
5; 4; 36; 41.6889; 2.57616
6; 4; 36; 39.3125; 2.7874
7; 4; 36; 39.4792; 2.87253
8; 5; 33; 39.4479; 2.8393
9; 6; 31; 37.2433; 2.92443
10; 6; 31; 35.5389; 2.81867
11; 6; 31; 35.3997; 2.78562
12; 6; 31; 35.375; 2.71921
13; 6; 31; 35.2578; 2.65962
14; 7; 29; 35.3675; 3.03681
15; 7; 29; 33.8495; 2.97293
16; 8; 28; 33.6123; 2.88352
17; 9; 26; 32.5278; 2.64623
18; 9; 26; 31.4153; 2.61449
19; 9; 26; 31.4219; 2.58391
20; 10; 25; 31.1441; 2.59981
21; 10; 25; 30.3379; 2.4453
22; 11; 23; 30.3521; 2.42543
23; 12; 22; 29.2581; 2.52663
24; 12; 22; 28.3137; 2.48516
25; 12; 22; 28.2943; 2.46542
26; 12; 22; 28.1615; 2.4542
27; 13; 21; 28.1703; 2.43463
28; 13; 21; 27.4215; 2.32431
29; 13; 21; 27.4083; 2.29442
30; 14; 21; 27.3547; 2.28939
31; 14; 21; 26.7798; 2.13384
32; 15; 20; 26.6597; 2.14363
33; 15; 20; 26.1208; 2.06982
34; 16; 19; 26.0627; 2.07944
35; 17; 18; 25.4756; 2.04725
36; 17; 18; 24.8774; 2.03774
37; 17; 18; 24.8418; 2.03465
38; 17; 18; 24.76; 2.05765
39; 18; 18; 24.7085; 2.04714
40; 18; 18; 24.2756; 1.92428
41; 19; 17; 24.2395; 1.9057
42; 19; 17; 23.8033; 1.87237
43; 19; 17; 23.7055; 1.89743
44; 19; 17; 23.6902; 1.88593
45; 19; 17; 23.6655; 1.89029
46; 19; 17; 23.5841; 1.92559
47; 20; 17; 23.5585; 1.92382
48; 20; 17; 23.1737; 1.84843
49; 20; 17; 23.2023; 1.90966
50; 21; 16; 23.1959; 1.91192
51; 21; 16; 22.8054; 1.87954
52; 21; 16; 22.7872; 1.88033
53; 22; 16; 22.7581; 1.87544
54; 22; 16; 22.3885; 1.80152
55; 22; 16; 22.3539; 1.80562
56; 22; 16; 22.327; 1.80454
57; 23; 16; 22.3198; 1.79855
58; 23; 16; 22.0268; 1.71468
59; 23; 16; 21.9823; 1.70665
60; 24; 16; 21.9757; 1.70188
61; 24; 16; 21.7037; 1.62633
62; 25; 16; 21.6545; 1.62644
63; 26; 15; 21.4112; 1.55933
64; 27; 13; 21.1115; 1.56318
65; 27; 13; 20.6944; 1.62346
66; 27; 13; 20.6861; 1.62298
67; 27; 13; 20.6726; 1.61817
68; 27; 13; 20.653; 1.61075
69; 27; 13; 20.6366; 1.62103
70; 27; 13; 20.6065; 1.6237
71; 27; 13; 20.5599; 1.63888
72; 27; 13; 20.5523; 1.63671
73; 27; 13; 20.5431; 1.63562
74; 27; 13; 20.4678; 1.67342
75; 27; 13; 20.4499; 1.6693
76; 27; 13; 20.4388; 1.66354
77; 27; 13; 20.4366; 1.66147
78; 27; 13; 20.4277; 1.65903
79; 27; 13; 20.4019; 1.6638
80; 27; 13; 20.3808; 1.66411
81; 27; 13; 20.3744; 1.66059
82; 27; 13; 20.3608; 1.66169
83; 27; 13; 20.3565; 1.65811
84; 27; 13; 20.3549; 1.65425
85; 27; 13; 20.3464; 1.65168
86; 27; 13; 20.3304; 1.64776
87; 27; 13; 20.3152; 1.64932
iteration; levels; best; avg; dev
0; 1; 52; 0; 0
1; 2; 42; 52; 0
2; 3; 38; 44.5; 2.5
3; 3; 38; 40.7778; 3.35259
4; 3; 38; 41; 3.43411
5; 3; 38; 41.4; 3.48999
6; 4; 37; 41.8333; 3.64302
7; 4; 37; 39.9821; 2.99543
8; 5; 34; 39.7708; 2.70463
9; 5; 34; 38.0156; 2.66786
10; 5; 34; 38.1; 2.58044
11; 6; 31; 37.7597; 2.59659
12; 7; 29; 36.3903; 2.62125
13; 7; 29; 34.694; 2.74184
14; 7; 29; 34.6114; 2.71337
15; 7; 29; 34.3024; 2.76112
16; 8; 26; 34.3615; 2.76025
17; 8; 26; 32.8993; 2.77153
18; 9; 23; 32.8934; 2.86895
19; 9; 23; 31.1825; 3.08293
20; 9; 23; 31.162; 3.05955
21; 9; 23; 31.1419; 3.01822
22; 9; 23; 31.1627; 2.99593
23; 9; 23; 31.1361; 2.97415
24; 9; 23; 31.1127; 2.94158
25; 9; 23; 31.1072; 2.92399
26; 9; 23; 31.0617; 2.92864
27; 9; 23; 31.0182; 2.90725
28; 9; 23; 31.0044; 2.88849
29; 9; 23; 30.9639; 2.86668
30; 9; 23; 30.9422; 2.87925
31; 9; 23; 30.8691; 2.9089
32; 9; 23; 30.8225; 2.90015
33; 9; 23; 30.7726; 2.90516
34; 9; 23; 30.7441; 2.89013
35; 9; 23; 30.7401; 2.89938
36; 9; 23; 30.7203; 2.89277
37; 9; 23; 30.6793; 2.88632
38; 9; 23; 30.6905; 2.88709
39; 9; 23; 30.6905; 2.87487
40; 9; 23; 30.6913; 2.86422
41; 9; 23; 30.6738; 2.86396
42; 9; 23; 30.6772; 2.85405
43; 9; 23; 30.6597; 2.8385
44; 9; 23; 30.6556; 2.82539
45; 9; 23; 30.648; 2.81079
46; 9; 23; 30.5511; 2.82955
47; 9; 23; 30.5405; 2.8214
48; 9; 23; 30.5337; 2.81068
49; 9; 23; 30.5073; 2.81922
50; 9; 23; 30.5053; 2.81019
51; 9; 23; 30.4233; 2.81751
52; 9; 23; 30.408; 2.81428
53; 9; 23; 30.4103; 2.80146
54; 9; 23; 30.3993; 2.79113
