iteration; levels; best; avg; dev
49; 19; 42; 50.2938; 2.77376
50; 19; 42; 50.269; 2.76639
51; 19; 42; 50.2111; 2.76314
52; 19; 42; 50.1556; 2.75755
53; 19; 42; 50.0753; 2.80184
54; 20; 42; 50.0702; 2.79586
55; 20; 42; 49.5827; 2.70193
56; 21; 41; 49.544; 2.68766
57; 22; 40; 49.0565; 2.61931
58; 22; 40; 48.5376; 2.57214
59; 23; 39; 48.4849; 2.56543
60; 23; 39; 47.9307; 2.55869
61; 23; 39; 47.9222; 2.55004
62; 23; 39; 47.915; 2.54095
63; 23; 39; 47.8962; 2.53661
64; 23; 39; 47.8945; 2.53355
65; 23; 39; 47.8148; 2.55229
66; 23; 39; 47.8144; 2.54698
67; 23; 39; 47.7944; 2.54067
68; 24; 39; 47.7861; 2.53102
69; 24; 39; 47.3522; 2.43839
70; 24; 39; 47.3492; 2.42928
71; 24; 39; 47.3474; 2.42533
72; 24; 39; 47.3059; 2.42143
73; 24; 39; 47.2564; 2.40979
74; 24; 39; 47.2675; 2.41828
75; 24; 39; 47.2667; 2.41614
iteration; levels; best; avg; dev
0; 1; 75; 0; 0
1; 1; 75; 75; 0
2; 2; 73; 85; 10
3; 2; 73; 78.1667; 9.24918
4; 3; 71; 78.125; 8.92221
5; 3; 71; 76.4444; 6.30338
6; 4; 68; 77.5556; 6.1565
7; 5; 67; 74.7143; 4.91233
8; 6; 64; 72.8; 3.66051
9; 7; 58; 70.3287; 3.59822
10; 8; 56; 67.0255; 4.44571
11; 8; 56; 64.6441; 4.55568
12; 9; 53; 64.2366; 4.62581
13; 9; 53; 62.1581; 4.57854
14; 10; 52; 61.9304; 4.54866
15; 10; 52; 60.2789; 4.23387
16; 10; 52; 59.8047; 4.21506
17; 11; 50; 59.6151; 4.189
18; 12; 47; 58.3637; 3.94217
19; 12; 47; 56.7588; 4.00942
20; 12; 47; 56.5965; 3.98452
21; 12; 47; 56.3639; 3.96587
22; 12; 47; 56.1018; 3.97262
23; 13; 46; 55.7676; 4.0036
24; 13; 46; 54.8769; 3.69914
25; 14; 45; 54.6219; 3.68432
26; 14; 45; 53.8599; 3.44758
27; 14; 45; 53.7541; 3.40604
28; 14; 45; 53.5793; 3.42384
29; 15; 45; 53.5537; 3.40155
30; 15; 45; 52.9208; 3.15116
31; 16; 45; 52.8326; 3.11724
32; 17; 42; 52.2576; 2.90389
33; 18; 41; 51.3941; 3.01591
34; 18; 41; 50.5131; 3.02277
35; 18; 41; 50.4483; 3.00895
36; 18; 41; 50.4177; 2.99502
37; 18; 41; 50.4172; 2.97806
38; 18; 41; 50.3748; 2.95809
39; 18; 41; 50.3751; 2.94602
40; 18; 41; 50.3526; 2.92315
41; 19; 40; 50.2533; 2.93338
42; 19; 40; 49.4697; 2.90849
43; 19; 40; 49.4491; 2.89818
44; 19; 40; 49.4237; 2.88478
45; 19; 40; 49.3948; 2.87344
46; 19; 40; 49.3575; 2.86474
47; 19; 40; 49.3475; 2.85308
48; 19; 40; 49.3175; 2.84495
49; 19; 40; 49.2944; 2.84149
50; 19; 40; 49.2834; 2.84089
51; 19; 40; 49.2647; 2.83237
52; 19; 40; 49.2512; 2.83212
53; 19; 40; 49.2389; 2.82697
54; 19; 40; 49.2324; 2.82272
55; 19; 40; 49.205; 2.81593
56; 19; 40; 49.1918; 2.80936
57; 19; 40; 49.1617; 2.79785
58; 19; 40; 49.1581; 2.79463
59; 19; 40; 49.1373; 2.78672
60; 19; 40; 49.1303; 2.77295
61; 19; 40; 49.1186; 2.76561
62; 19; 40; 49.1225; 2.75889
63; 19; 40; 49.1124; 2.74907
64; 19; 40; 49.0991; 2.73789
65; 19; 40; 49.0912; 2.73211
66; 19; 40; 49.091; 2.72472
67; 19; 40; 49.0942; 2.71836
68; 19; 40; 49.0915; 2.70698
69; 19; 40; 49.0916; 2.702
70; 19; 40; 49.0889; 2.69496
71; 19; 40; 49.056; 2.68677
72; 19; 40; 49.039; 2.67561
iteration; levels; best; avg; dev
0; 1; 90; 0; 0
1; 2; 72; 90; 0
2; 3; 70; 76.5; 4.5
3; 3; 70; 72.8889; 4.74351
4; 3; 70; 72.8333; 4.43663
5; 3; 70; 73.2667; 4.22882
6; 4; 69; 73.5556; 4.04162
7; 5; 65; 71.994; 3.07525
8; 5; 65; 69.725; 3.1046
9; 6; 59; 69.7267; 3.13572
10; 6; 59; 66.6333; 3.86226
11; 7; 58; 66.8499; 4.06189
12; 8; 57; 64.7619; 3.77575
13; 9; 54; 63.183; 3.45742
14; 9; 54; 61.1943; 3.72971
15; 9; 54; 61.1369; 3.79201
16; 9; 54; 61.1646; 3.75956
17; 10; 53; 61.1607; 3.7157
18; 11; 51; 59.7754; 3.51762
19; 11; 51; 58.4176; 3.47516
20; 12; 50; 58.294; 3.43749
21; 12; 50; 57.1401; 3.29396
22; 12; 50; 57.0359; 3.24457
23; 13; 48; 56.7296; 3.23659
24; 13; 48; 55.7658; 3.16594
25; 14; 47; 55.4607; 3.2165
26; 14; 47; 54.64; 3.06606
27; 15; 45; 54.4724; 3.05919
28; 16; 44; 53.5443; 3.0261
29; 16; 44; 52.6126; 3.00025
30; 16; 44; 52.414; 3.04465
31; 17; 42; 52.3473; 3.0406
32; 17; 42; 51.4628; 3.07994
33; 17; 42; 51.386; 3.08294
34; 17; 42; 51.1443; 3.1506
35; 17; 42; 51.1362; 3.14833
36; 17; 42; 51.0875; 3.14162
37; 17; 42; 51.0919; 3.13538
38; 17; 42; 51.0117; 3.12177
39; 17; 42; 50.9594; 3.11565
40; 18; 42; 50.9487; 3.09995
41; 19; 41; 50.345; 2.93082
42; 19; 41; 49.7213; 2.84217
43; 19; 41; 49.6962; 2.82486
44; 19; 41; 49.6609; 2.81173
45; 19; 41; 49.6333; 2.79492
46; 19; 41; 49.6002; 2.78698
47; 19; 41; 49.5972; 2.77533
48; 19; 41; 49.5876; 2.76647
49; 19; 41; 49.5487; 2.75498
50; 19; 41; 49.5352; 2.74246
51; 19; 41; 49.504; 2.73039
52; 19; 41; 49.4965; 2.71746
53; 19; 41; 49.4595; 2.70656
54; 19; 41; 49.4612; 2.701
55; 19; 41; 49.4545; 2.69003
56; 19; 41; 49.4393; 2.68285
57; 19; 41; 49.3443; 2.68353
58; 19; 41; 49.3327; 2.67885
59; 19; 41; 49.3131; 2.67482
60; 19; 41; 49.2862; 2.66253
61; 19; 41; 49.2859; 2.65369
62; 19; 41; 49.2473; 2.64501
63; 20; 41; 49.239; 2.63387
64; 20; 41; 48.8152; 2.49784
65; 20; 41; 48.7954; 2.47859
66; 20; 41; 48.7777; 2.47017
67; 20; 41; 48.7709; 2.46393
iteration; levels; best; avg; dev
0; 1; 84; 0; 0
1; 2; 80; 84; 0
2; 3; 78; 81; 1
3; 4; 77; 79.2222; 1.49815
4; 5; 70; 78.5417; 1.29426
5; 6; 67; 75.4; 3.00446
6; 7; 65; 72.9222; 3.26927
7; 8; 61; 70.6568; 3.50614
8; 9; 58; 68.0298; 4.151
9; 10; 56; 65.8643; 4.36374
10; 11; 55; 63.9347; 4.31059
11; 12; 52; 62.4889; 4.09915
12; 12; 52; 60.8138; 4.19446
13; 13; 51; 60.6283; 4.22211
14; 14; 46; 59.1975; 4.15364
15; 14; 46; 57.1992; 4.70214
16; 14; 46; 56.9615; 4.78868
17; 14; 46; 56.8663; 4.80193
18; 14; 46; 56.7813; 4.7753
19; 14; 46; 56.6168; 4.77572
20; 14; 46; 56.4955; 4.77404
21; 14; 46; 56.3603; 4.73954
22; 14; 46; 56.2554; 4.71098
23; 14; 46; 56.2384; 4.70241
24; 14; 46; 56.1425; 4.67473
25; 14; 46; 55.5949; 4.77725
26; 14; 46; 55.5557; 4.75875
27; 14; 46; 55.5516; 4.74558
28; 14; 46; 55.5307; 4.72679
29; 14; 46; 55.4541; 4.74034
30; 14; 46; 55.3338; 4.76556
31; 14; 46; 55.3072; 4.75363
32; 15; 44; 55.2848; 4.73815
33; 15; 44; 54.067; 4.60018
34; 15; 44; 54.0178; 4.59033
35; 15; 44; 53.9963; 4.59292
36; 15; 44; 53.9575; 4.57497
37; 15; 44; 53.9195; 4.5565
38; 15; 44; 53.8421; 4.5398
39; 15; 44; 53.8215; 4.52576
40; 15; 44; 53.8271; 4.51868
41; 15; 44; 53.7079; 4.49771
42; 15; 44; 53.4229; 4.51112
43; 15; 44; 53.4217; 4.49891
44; 16; 43; 53.4619; 4.57655
45; 16; 43; 52.5752; 4.35693
46; 16; 43; 52.583; 4.33802
47; 16; 43; 52.5366; 4.32079
48; 16; 43; 52.5196; 4.30035
49; 16; 43; 52.463; 4.28094
50; 16; 43; 52.4375; 4.25985
51; 16; 43; 52.431; 4.25082
52; 16; 43; 52.3285; 4.24999
53; 16; 43; 52.3026; 4.23551
54; 16; 43; 52.2918; 4.22797
55; 16; 43; 52.2763; 4.21994
56; 16; 43; 52.2631; 4.20751
57; 16; 43; 52.2294; 4.19295
58; 16; 43; 52.0645; 4.1798
59; 17; 43; 52.0608; 4.17021
60; 17; 43; 51.4211; 3.90372
61; 18; 43; 51.2592; 3.87103
62; 18; 43; 50.7709; 3.64736
63; 18; 43; 50.768; 3.62788
64; 19; 42; 50.7378; 3.60928
65; 19; 42; 50.2121; 3.49343
66; 20; 42; 50.1104; 3.49359
67; 20; 42; 49.6305; 3.30993
68; 21; 40; 49.6233; 3.29735
69; 22; 39; 48.9716; 3.30304
70; 22; 39; 48.3988; 3.22728
71; 22; 39; 48.3932; 3.22265
72; 22; 39; 48.3891; 3.22067
73; 22; 39; 48.3863; 3.21806
74; 22; 39; 48.346; 3.21872
75; 22; 39; 48.3273; 3.22113
iteration; levels; best; avg; dev
0; 1; 78; 0; 0
1; 1; 78; 78; 0
2; 1; 78; 81; 3
3; 2; 72; 80.6667; 5.49444
4; 2; 72; 76.375; 3.82975
5; 3; 72; 77.55; 3.95329
6; 4; 69; 75.9444; 2.7654
7; 5; 64; 74.4018; 3.78472
8; 5; 64; 71.4317; 4.25015
9; 6; 61; 71.1667; 4.19336
10; 7; 56; 68.5897; 3.90675
11; 7; 56; 65.2332; 4.57804
12; 8; 54; 64.4243; 4.79329
13; 8; 54; 62.5733; 4.4733
14; 9; 52; 62.3797; 4.34313
15; 9; 52; 60.6213; 4.04007
16; 9; 52; 60.6642; 3.95081
17; 10; 51; 60.3064; 3.8954
18; 11; 50; 58.9605; 3.59979
19; 11; 50; 57.7921; 3.33567
20; 11; 50; 57.7541; 3.27325
21; 11; 50; 57.6145; 3.23536
22; 12; 47; 57.4652; 3.18548
23; 12; 47; 56.0542; 3.38629
24; 12; 47; 55.8474; 3.4153
25; 12; 47; 55.8389; 3.39677
26; 12; 47; 55.7821; 3.38714
27; 12; 47; 55.7272; 3.37297
28; 12; 47; 55.6764; 3.35865
29; 12; 47; 55.6703; 3.32745
30; 12; 47; 55.6999; 3.3147
31; 12; 47; 55.6566; 3.3064
32; 12; 47; 55.6098; 3.29758
33; 13; 45; 55.5721; 3.28451
34; 13; 45; 54.3763; 3.277
35; 13; 45; 54.366; 3.26121
